product_id,brand,model,variant,category,base_price,current_price,rating,review_count,launch_date,platform
P001,Amul,Amul Black Tea,Assam - 1kg,tea,4.75,5.03,3.0,3639,2025-10-09,Amazon
P002,Tata,Tata Turmeric Powder,Regular - 100g,spices,6.3,5.17,4.0,616,2023-07-16,Amazon
P003,Parle,Parle Corn Flakes,Almond - 1kg,breakfast_cereals,7.29,6.44,4.8,4939,2023-08-09,Amazon
P004,Fortune,Fortune Red Chilli Powder,Byadgi - 100g,spices,3.37,2.81,3.5,2238,2024-04-02,Amazon
P005,Kellogg's,Kellogg's Cream Biscuits,Chocolate - 300g,biscuits,4.91,5.37,4.4,1402,2025-12-25,Amazon
P006,Maggi,Maggi Energy Drink,Sugar Free - 500ml,beverages,4.6,4.38,4.5,4182,2026-01-07,Amazon
P007,Parle,Parle Coffee Powder,Espresso - 200g,coffee,13.19,13.0,3.8,3978,2023-05-04,Amazon
P008,Kellogg's,Kellogg's Red Chilli Powder,Regular - 500g,spices,3.09,3.54,4.9,2332,2024-11-19,Amazon
P009,Parle,Parle Cooking Oil,Sunflower - 1L,oil,19.34,18.9,4.1,2962,2023-03-24,Amazon
P010,Amul,Amul Black Tea,Assam - 250g,tea,9.01,7.53,4.2,4608,2024-11-21,Amazon
P011,Aashirvaad,Aashirvaad Noodles,Vermicelli - 140g,packaged_food,6.61,6.42,4.8,2207,2026-01-06,Amazon
P012,Amul,Amul Brown Rice,Short Grain - 10kg,rice,10.63,12.09,3.9,967,2024-08-20,Amazon
P013,Kellogg's,Kellogg's Instant Coffee,Classic - 200g,coffee,9.06,7.37,3.0,2384,2023-03-24,Amazon
P014,Britannia,Britannia Cooking Oil,Refined - 5L,oil,22.18,21.68,3.3,123,2023-05-10,Amazon
P015,Britannia,Britannia Fruit Juice,Apple - 1L,beverages,11.06,9.13,4.3,4608,2025-08-08,Amazon
P016,Britannia,Britannia Brown Rice,Long Grain - 1kg,rice,17.71,19.17,4.4,3714,2026-01-05,Amazon
P017,Amul,Amul Cream Biscuits,Strawberry - 100g,biscuits,4.18,4.81,4.6,453,2025-10-16,Amazon
P018,ITC,ITC Brown Rice,Long Grain - 5kg,rice,17.36,18.54,4.4,2280,2024-06-02,Amazon
P019,Parle,Parle Olive Oil,Extra Virgin - 1L,oil,12.83,13.52,3.3,2301,2023-04-28,Amazon
P020,Fortune,Fortune Marie Biscuits,Whole Wheat - 200g,biscuits,2.19,2.06,4.9,3340,2025-03-25,Amazon
P021,Amul,Amul Green Tea,Lemon - 25 bags,tea,4.46,3.69,4.0,4824,2024-09-17,Amazon
P022,Maggi,Maggi Olive Oil,Light - 250ml,oil,21.17,24.89,4.8,3321,2025-03-08,Amazon
